0000020010120160801PRACF2*U16 20143620160915000000000000000050800000000000000000000000000000000000000068000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160725+00008575+00000000+0000000008201S+0000000008240 00000000198120000000000000000000000000000000000000000002200000005-00000039-0000000000000000000000000000000000000000000000320004500032    0000000000000000000000000020160915001                    ACFU16              EMERC2016091520160916+0000000007705+0000000008775
0000040010120160801PRACF2*Z16 20143620161215000000000000000050800000000000000000000000000000000000000030000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160620+00008700+00000000+0000000008357S+0000000008386 00000000147320000000000000000000000000000000000000000002200000003-00000029-0000000000000000000000000000000000000000000000940013600094    0000000000000000000000000020161215002                    ACFZ16              EMERC2016121520161216+0000000007841+0000000008931
0000060010120160801PRAUD2*Q16 20143620160801000000000000000006000000000000000000000000000000000000001295000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160728+02463600+00000000+0000024618020S+0000024618020 00000000000000000000000000000000000000000000000000000003400000000+00000000 0000000000000000000000000000000000000000000000000000000000    0000000000000000000000000000000000000                    AUDQ16              EMERC2016072920160801+0000000000100+0000999999100
0000080010120160801PRAUD2*U16 20143620160901000000000000000006000000000000001496220000000045809200000530000000010000001000000+0000000000000+00000000+02493700+02493700+02493700+0249370000010+0249370011140020160801+02488000+00000000+0000024943280S+0000024911220 00000000192360000000000000000000000000000000000000000003400000001+00032060+0000000000000000000000000000000000000000000000230003100023    0000000000000000000000000000000000001                    AUDU16              EMERC2016083120160901+0000002341700+0000002640500
0000100010120160801PRAUD2*V16 20143620161003000000000000000006000000000000000000000000000000000000001674000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160728+02518000+00000000+0000025152250S+0000025118560 00000000202140000000000000000000000000000000000000000003400000001+00033690+0000000000000000000000000000000000000000000000440006300044    0000000000000000000000000000000000002                    AUDV16              EMERC2016093020161003+0000002361200+0000002662500
0000120010120160801PRAUD2*X16 20143620161101000000000000000006000000000000097674642000002990467300000000000000030000064500000+0000000000000+00000000+02523800+02523800+02523900+0252389300597+0252390017420020160801+00000000+00000000+0000025349260S+0000025200000 00000000895560000000000000000000000000000000000000000003400000006+00149260+0000000000000000000000000000000000000000000000640009200064    0000000000000000000000000000000000003                    AUDX16              EMERC2016103120161101+0000002361000+0000002662000
0000140010120160801PRBGI2*F17 20143620170131000000000000000033000000000000000000000000000000000000000099000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160711+00016398+00000000+0000000015686S+0000000015876 00000000627000000000000000000000000000000000000000000002200000012-00000190-0000000000000000000000000000000000000000000001270018300125    0000000000000000000000000020170131006                    BGIF17              EMERC2017013120170201+0000000015137+0000000016235
0000160010120160801PRBGI2*G17 20143620170224000000000000000033000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000015232 +0000000015417 00000000000000000000000000000000000000000000000000000002200000012-00000185-0000000000000000000000000000000000000000000001450020700143    0000000000000000000000000000000000000                    BGIG17              EMERC2017022420170301+0000000014699+0000000015765
0000180010120160801PRBGI2*K17 20143620170531000000000000000033000000000000003562350000000109107200000429000000110000007200000+0000000000020+00014950+00015000+00014950+00015000+0001499300005+0001495016190020160801+00015050+00000000+0000000014868S+0000000015050 00000000600600000000000000000000000000000000000000000002200000012-00000182-0000000000000000000000000000000000000000000002080030300206    0000000000000000000000000020170531007                    BGIK17              EMERC2017053120170601+0000000014348+0000000015388
0000200010120160801PRBGI2*Q16 20143620160831000000000000000033000000000000039899874000001222048200003321000001290000078900020+0001525500003+00015270+00015360+00015250+00015400+0001532400005+0001525015590020160801+00015360+00000000+0000000015259S+0000000015360 00000000333300000000000000000000000000000000000000000002200000007-00000101-0000000000000000000000000000000000000000000000220003000022    0000000000000000000000000020160831001                    BGIQ16              EMERC2016083120160901+0000000014725+0000000015793
0000220010120160801PRBGI2*U16 20143620160930000000000000000033000000000000005748392000000176061000000481000000390000011300001+0001520000002+00015300+00015506+00015300+00015570+0001541500003+0001530016120020160801+00015550+00000000+0000000015300S+0000000015550 00000000825000000000000000000000000000000000000000000002200000016-00000250-0000000000000000000000000000000000000000000000430006000043    0000000000000000000000000020160930002                    BGIU16              EMERC2016093020161003+0000000014765+0000000015835
0000240010120160801PRBGI2*V16 20143620161031000000000000000033000000000000087402932000002676965800010200000003240000169100009+0001557500006+00015599+00015760+00015571+00015797+0001566300001+0001559915590020160801+00015760+00000000+0000000015595S+0000000015768 00000000570900000000000000000000000000000000000000000002200000011-00000173-0000000000000000000000000000000000000000000000630009100063    0000000000000000000000000020161031003                    BGIV16              EMERC2016103120161101+0000000015050+0000000016140
0000260010120160801PRBGI2*V17 20143620171031000000000000000033000000000000000000000000000000000000000072000000000000000000000+0000000000010+00016087+00000000+00000000+00000000+0000000000000+0000000000000020160722+00016100+00000000+0000000015824S+0000000016027 00000000669900000000000000000000000000000000000000000002200000013-00000203-0000000000000000000000000000000000000000000003140045600312    0000000000000000000000000020171031008                    BGIV17              EMERC2017103120171101+0000000015271+0000000016377
0000280010120160801PRBGI2*X16 20143620161130000000000000000033000000000000010973549000000336096400001371000000410000021200005+0001557000023+00015578+00015765+00015578+00015770+0001568500005+0001557816150020160801+00015765+00000000+0000000015578S+0000000015765 00000000617100000000000000000000000000000000000000000002200000012-00000187-0000000000000000000000000000000000000000000000830012100083    0000000000000000000000000020161130004                    BGIX16              EMERC2016113020161201+0000000015033+0000000016123
0000300010120160801PRBGI2*Z16 20143620161229000000000000000033000000000000011145601000000341366000000705000000210000021600010+0001535500006+00015515+00015740+00015515+00015740+0001563600004+0001551516170020160801+00015740+00000000+0000000015515S+0000000015740 00000000742500000000000000000000000000000000000000000002200000014-00000225-0000000000000000000000000000000000000000000001040015000104    0000000000000000000000000020161229005                    BGIZ16              EMERC2016122920170102+0000000014972+0000000016058
0000320010120160801PRBGI4VFKM020143620170131000000001500000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160310+00000140+00000000+0000000000098 +0000000000065 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000001270018300125F17 0000000000000000000000000000000000000                    BGIF17P015000       EMERC2017013120170201+0000000000000+0000000000000
0000340010120160801PRBGI4CKKIB20143620170531000000001550000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160721+00000285+00000000+0000000000181 +0000000000240 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002080030300206K17 0000000000000000000000000000000000000                    BGIK17C015500       EMERC2017053120170601+0000000000000+0000000000000
0000360010120160801PRBGI4VKKM020143620170531000000001500000033000000000000000000000000000000000000000070000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160721+00000285+00000000+0000000000456 +0000000000382 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002080030300206K17 0000000000000000000000000000000000000                    BGIK17P015000       EMERC2017053120170601+0000000000000+0000000000000
0000380010120160801PRBGI4CQJIC20143620160831000000001650000033000000000000000000000000000000000000000250000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160606+00000145+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016500       EMERC2016083120160901+0000000000000+0000000000000
0000400010120160801PRBGI4CQJID20143620160831000000001560000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160729+00000040+00000000+0000000000021 +0000000000046 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C015600       EMERC2016083120160901+0000000000000+0000000000000
0000420010120160801PRBGI4CQJIJ20143620160831000000001580000033000000000000000000000000000000000000000080000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160720+00000055+00000000+0000000000006 +0000000000017 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C015800       EMERC2016083120160901+0000000000000+0000000000000
0000440010120160801PRBGI4CQJIL20143620160831000000001590000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160727+00000010+00000000+0000000000003 +0000000000009 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C015900       EMERC2016083120160901+0000000000000+0000000000000
0000460010120160801PRBGI4CQJIR20143620160831000000001670000033000000000000000000000000000000000000000270000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160524+00000046+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016700       EMERC2016083120160901+0000000000000+0000000000000
0000480010120160801PRBGI4CQJIT20143620160831000000001680000033000000000000000000000000000000000000000013000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160607+00000070+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016800       EMERC2016083120160901+0000000000000+0000000000000
0000500010120160801PRBGI4CQJI120143620160831000000001600000033000000000000000000000000000000000000000115000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160720+00000020+00000000+0000000000001 +0000000000005 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016000       EMERC2016083120160901+0000000000000+0000000000000
0000520010120160801PRBGI4CQJI320143620160831000000001610000033000000000000000000000000000000000000000035000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160712+00000055+00000000+0000000000001 +0000000000002 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016100       EMERC2016083120160901+0000000000000+0000000000000
0000540010120160801PRBGI4CQJI520143620160831000000001620000033000000000000000000000000000000000000000120000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160701+00000082+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016200       EMERC2016083120160901+0000000000000+0000000000000
0000560010120160801PRBGI4CQJI720143620160831000000001630000033000000000000000000000000000000000000000007000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160705+00000099+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016300       EMERC2016083120160901+0000000000000+0000000000000
0000580010120160801PRBGI4CQJI920143620160831000000001640000033000000000000000000000000000000000000000263000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160701+00000055+00000000+0000000000001 +0000000000001 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16C016400       EMERC2016083120160901+0000000000000+0000000000000
0000600010120160801PRBGI4VQJMD20143620160831000000001560000033000000000000000000000000000000000000000035000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160712+00000055+00000000+0000000000358 +0000000000283 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16P015600       EMERC2016083120160901+0000000000000+0000000000000
0000620010120160801PRBGI4VQJMF20143620160831000000001565000033000000000000000000000000000000000000000050000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160718+00000130+00000000+0000000000402 +0000000000323 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16P015650       EMERC2016083120160901+0000000000000+0000000000000
0000640010120160801PRBGI4VQJMG20143620160831000000001570000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160720+00000215+00000000+0000000000447 +0000000000364 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16P015700       EMERC2016083120160901+0000000000000+0000000000000
0000660010120160801PRBGI4VQJMJ20143620160831000000001580000033000000000000000000000000000000000000000015000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160719+00000324+00000000+0000000000541 +0000000000451 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16P015800       EMERC2016083120160901+0000000000000+0000000000000
0000680010120160801PRBGI4VQJMK20143620160831000000001585000033000000000000000000000000000000000000000060000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160711+00000245+00000000+0000000000588 +0000000000497 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000220003000022Q16 0000000000000000000000000000000000000                    BGIQ16P015850       EMERC2016083120160901+0000000000000+0000000000000
