0000020010120160401PRACF2*J16 20014320160415000000000000000050800000000000000375920000000010513500000304000000010000001000005+0000735000020+00007450+00007400+00007400+00007400+0000740000010+0000740009090020160401+00007400+00000000+0000000007375S+0000000007400 00000000127000000000000000000000000000000000000000000002200000003-00000025-0000000000000000000000000000000000000000000000100001400010    0000000000000000000000000020160415001                    ACFJ16              EMERC2016041520160418+0000000006919+0000000007881
0000040010120160401PRACF2*M16 20014320160615000000000000000050800000000000000000000000000000000000000366000000000000000000005+0000700000005+00007250+00000000+00000000+00000000+0000000000000+0000000000000020160324+00007301+00000000+0000000007110S+0000000007134 00000000121920000000000000000000000000000000000000000002200000003-00000024-0000000000000000000000000000000000000000000000510007500051    0000000000000000000000000020160615002                    ACFM16              EMERC2016061520160616+0000000006671+0000000007597
0000060010120160401PRACF2*U16 20014320160915000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000007742 +0000000007768 00000000000000000000000000000000000000000000000000000002200000003-00000026-0000000000000000000000000000000000000000000001160016700116    0000000000000000000000000000000000000                    ACFU16              EMERC2016091520160916+0000000007264+0000000008272
0000080010120160401PRACF2*Z16 20014320161215000000000000000050800000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000000008629 +0000000008658 00000000000000000000000000000000000000000000000000000002200000003-00000029-0000000000000000000000000000000000000000000001780025800178    0000000000000000000000000000000000000                    ACFZ16              EMERC2016121520161216+0000000008096+0000000009220
0000100010120160401PRAUD2*J16 20014320160401000000000000000006000000000000000000000000000000000000000151000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160330+02783000+00000000+0000027376840S+0000027376840 00000000000000000000000000000000000000000000000000000003400000000+00000000 0000000000000000000000000000000000000000000000000000000000    0000000000000000000000000000000000000                    AUDJ16              EMERC2016033120160401+0000000000100+0000999999100
0000120010120160401PRAUD2*K16 20014320160502000000000000000006000000000000003657588000000102170100000258000000010000002200000+0000000000000+00000000+02770900+02770900+02770900+0277090000022+0277090009480020160401+02770000+00000000+0000027521460S+0000027730680 00000001255320000000000000000000000000000000000000000003400000008-00209220-0000000000000000000000000000000000000000000000200003100020    0000000000000000000000000000000000001                    AUDK16              EMERC2016042920160502+0000002606700+0000002939400
0000140010120160401PRAUD2*M16 20014320160601000000000000000006000000000000000000000000000000000000001517000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160331+02762500+00000000+0000027707940S+0000027910780 00000001217040000000000000000000000000000000000000000003400000007-00202840-0000000000000000000000000000000000000000000000410006100041    0000000000000000000000000000000000002                    AUDM16              EMERC2016053120160601+0000002623700+0000002958500
0000160010120160401PRAUD2*N16 20014320160701000000000000000006000000000000000000000000000000000000000000000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000000000000+00000000+00000000+0000027929430 +0000028100000 00000000000000000000000000000000000000000000000000000003400000006-00170570-0000000000000000000000000000000000000000000000630009100063    0000000000000000000000000000000000003                    AUDN16              EMERC2016063020160701+0000002640000+0000003020000
0000180010120160401PRBGI2*F17 20014320170131000000000000000033000000000000000000000000000000000000000070000000000000000000050+0001640000050+00016500+00000000+00000000+00000000+0000000000000+0000000000000020160324+00016600+00000000+0000000016400S+0000000016500 00000000330000000000000000000000000000000000000000000002200000006-00000100-0000000000000000000000000000000000000000000002110030500209    0000000000000000000000000020170131010                    BGIF17              EMERC2017013120170201+0000000015923+0000000017077
0000200010120160401PRBGI2*J16 20014320160429000000000000000033000000000000022958654000000642092300000596000000660000044000048+0001583200010+00015840+00015910+00015750+00015910+0001581200050+0001583216120020160401+00015875+00000000+0000000015832S+0000000015875 00000000141900000000000000000000000000000000000000000002200000003-00000043-0000000000000000000000000000000000000000000000190002800019    0000000000000000000000000020160429001                    BGIJ16              EMERC2016042920160502+0000000015320+0000000016430
0000220010120160401PRBGI2*K16 20014320160531000000000000000033000000000000117613689000003289341300006741000004990000227000029+0001572000049+00015730+00015780+00015601+00015830+0001570100020+0001572015590020160401+00015780+00000000+0000000015720S+0000000015787 00000000221100000000000000000000000000000000000000000002200000004-00000067-0000000000000000000000000000000000000000000000400006000040    0000000000000000000000000020160531002                    BGIK16              EMERC2016053120160601+0000000015235+0000000016339
0000240010120160401PRBGI2*K17 20014320170531000000000000000033000000000000000000000000000000000000000001000000000000000000000+0000000000010+00015500+00000000+00000000+00000000+0000000000000+0000000000000020160324+00015900+00000000+0000000015500S+0000000015700 00000000660000000000000000000000000000000000000000000002200000013-00000200-0000000000000000000000000000000000000000000002920042500290    0000000000000000000000000020170531011                    BGIK17              EMERC2017053120170601+0000000015151+0000000016249
0000260010120160401PRBGI2*M16 20014320160630000000000000000033000000000000000103230000000002887100000084000000020000000200050+0001560000050+00015650+00015641+00015641+00015641+0001564100001+0001564109020020160401+00015700+00000000+0000000015574S+0000000015641 00000000221100000000000000000000000000000000000000000002200000004-00000067-0000000000000000000000000000000000000000000000620009000062    0000000000000000000000000020160630003                    BGIM16              EMERC2016063020160701+0000000015094+0000000016188
0000280010120160401PRBGI2*N16 20014320160729000000000000000033000000000000000784317000000021935300000095000000040000001500005+0001540000010+00015750+00015811+00015811+00015850+0001584500008+0001585014280020160401+00015840+00000000+0000000015741S+0000000015811 00000000231000000000000000000000000000000000000000000002200000004-00000070-0000000000000000000000000000000000000000000000830011900083    0000000000000000000000000020160729004                    BGIN16              EMERC2016072920160801+0000000015258+0000000016364
0000300010120160401PRBGI2*Q16 20014320160831000000000000000033000000000000001046859000000029277900000234000000020000002000010+0001587200050+00015900+00015850+00015850+00015873+0001586200010+0001587316170020160401+00016080+00000000+0000000015873S+0000000015944 00000000234300000000000000000000000000000000000000000002200000004-00000071-0000000000000000000000000000000000000000000001060015200106    0000000000000000000000000020160831005                    BGIQ16              EMERC2016083120160901+0000000015386+0000000016502
0000320010120160401PRBGI2*U16 20014320160930000000000000000033000000000000000000000000000000000000000013000000000000000000050+0001620000050+00016300+00000000+00000000+00000000+0000000000000+0000000000000020160329+00016470+00000000+0000000016263S+0000000016337 00000000244200000000000000000000000000000000000000000002200000005-00000074-0000000000000000000000000000000000000000000001270018200127    0000000000000000000000000020160930006                    BGIU16              EMERC2016093020161003+0000000015766+0000000016908
0000340010120160401PRBGI2*V16 20014320161031000000000000000033000000000000028524856000000797764200004386000000610000052600100+0001645000004+00016470+00016567+00016400+00016567+0001643300001+0001647016200020160401+00016570+00000000+0000000016470S+0000000016545 00000000247500000000000000000000000000000000000000000002200000005-00000075-0000000000000000000000000000000000000000000001470021300147    0000000000000000000000000020161031007                    BGIV16              EMERC2016103120161101+0000000015966+0000000017124
0000360010120160401PRBGI2*V17 20014320171031000000000000000033000000000000000000000000000000000000000001000000000000000000000+0000000000010+00016000+00000000+00000000+00000000+0000000000000+0000000000000020160324+00016347+00000000+0000000015959S+0000000016144 00000000610500000000000000000000000000000000000000000002200000011-00000185-0000000000000000000000000000000000000000000003980057800396    0000000000000000000000000020171031012                    BGIV17              EMERC2017103120171101+0000000015579+0000000016709
0000380010120160401PRBGI2*X16 20014320161130000000000000000033000000000000000327178000000009150300000244000000050000000600050+0001642500005+00016499+00016569+00016480+00016569+0001652400001+0001648010490020160401+00016575+00000000+0000000016488S+0000000016556 00000000224400000000000000000000000000000000000000000002200000004-00000068-0000000000000000000000000000000000000000000001670024300167    0000000000000000000000000020161130008                    BGIX16              EMERC2016113020161201+0000000015977+0000000017135
0000400010120160401PRBGI2*Z16 20014320161229000000000000000033000000000000000000000000000000000000000144000000000000000000010+0001650000050+00016525+00000000+00000000+00000000+0000000000000+0000000000000020160329+00016694+00000000+0000000016450S+0000000016540 00000000297000000000000000000000000000000000000000000002200000005-00000090-0000000000000000000000000000000000000000000001880027200188    0000000000000000000000000020161229009                    BGIZ16              EMERC2016122920170102+0000000015962+0000000017118
0000420010120160401PRBGI4VFKM020014320170131000000001500000033000000000000000000000000000000000000000170000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160310+00000140+00000000+0000000000087 +0000000000076 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000002110030500209F17 0000000000000000000000000000000000000                    BGIF17P015000       EMERC2017013120170201+0000000000000+0000000000000
0000440010120160401PRBGI4CJJIX20014320160429000000001490000033000000000000000000000000000000000000000003000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160211+00000600+00000000+0000000000923 +0000000000965 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C014900       EMERC2016042920160502+0000000000000+0000000000000
0000460010120160401PRBGI4CJJIZ20014320160429000000001500000033000000000000000000000000000000000000000035000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151222+00000350+00000000+0000000000824 +0000000000866 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015000       EMERC2016042920160502+0000000000000+0000000000000
0000480010120160401PRBGI4CJJJF20014320160429000000001570000033000000000000000000000000000000000000000145000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160301+00000198+00000000+0000000000175 +0000000000210 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015700       EMERC2016042920160502+0000000000000+0000000000000
0000500010120160401PRBGI4CJJJH20014320160429000000001580000033000000000000000000000000000000000000000182000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160323+00000142+00000000+0000000000112 +0000000000139 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015800       EMERC2016042920160502+0000000000000+0000000000000
0000520010120160401PRBGI4CJJJK20014320160429000000001590000033000000000000000000000000000000000000000195000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160330+00000083+00000000+0000000000068 +0000000000087 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015900       EMERC2016042920160502+0000000000000+0000000000000
0000540010120160401PRBGI4CJJJM20014320160429000000001600000033000000000000000000000000000000000000000140000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160329+00000120+00000000+0000000000041 +0000000000053 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C016000       EMERC2016042920160502+0000000000000+0000000000000
0000560010120160401PRBGI4CJJJR20014320160429000000001620000033000000000000000000000000000000000000000195000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160330+00000007+00000000+0000000000014 +0000000000019 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C016200       EMERC2016042920160502+0000000000000+0000000000000
0000580010120160401PRBGI4CJJJ520014320160429000000001530000033000000000000000000000000000000000000000015000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020151222+00000156+00000000+0000000000529 +0000000000571 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015300       EMERC2016042920160502+0000000000000+0000000000000
0000600010120160401PRBGI4CJJJ820014320160429000000001545000033000000000000000000000000000000000000000145000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160301+00000333+00000000+0000000000387 +0000000000428 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015450       EMERC2016042920160502+0000000000000+0000000000000
0000620010120160401PRBGI4CJJJ920014320160429000000001550000033000000000000000000000000000000000000000019000000000000000000000+0000000000000+00000000+00000000+00000000+00000000+0000000000000+0000000000000020160222+00000345+00000000+0000000000341 +0000000000381 00000000000000000000000000000000000000000000000000000002200000000+00000000 0000000000000000000000000000000000000000000000190002800019J16 0000000000000000000000000000000000000                    BGIJ16C015500       EMERC2016042920160502+0000000000000+0000000000000
